,Accuracy,Macro-Precision,Macro-Recall,Macro-F1,Weighted-F1,Binary-Precision,Binary-Recall,Binary-F1
Random Forest,0.9815490471641625,0.8383595171776423,0.8417341452352363,0.8360111446714484,0.9803793237714009,,,
XGBoost,0.9819769834353343,0.7717284617454336,0.856354024009844,0.7850458206144805,0.9807690406602411,,,
MLP,0.960824939567349,0.6479792461758412,0.8029614308922793,0.6380885216993671,0.9626551296612456,,,
Isolation Forest,,,,,,0.19465406288396267,0.2006088760051912,0.19758661348184944
AE Anomaly Detector,,,,,,0.4615908027904107,0.9001443351486409,0.6102484025158473
